Edge_ID,Source_Node,Target_Node,Source_Degree,Target_Degree,Clustering_Coeff,Source_Label,Connection_Type,Search_Priority,Is_Pattern_Match
E-36-195,36,195,28,30,0.11,D,Strong,High,0
E-244-246,244,246,45,29,0.1,A,Weak,High,0
E-5-145,5,145,23,38,0.11,B,Weak,High,0
E-4-206,4,206,28,40,0.11,A,Strong,High,1
E-127-231,127,231,29,31,0.1,D,Strong,High,0
E-115-226,115,226,24,22,0.12,B,Weak,High,0
E-68-92,68,92,31,29,0.09,D,Strong,High,0
E-61-136,61,136,30,29,0.13,D,Weak,High,0
E-138-259,138,259,41,36,0.11,B,Weak,High,0
E-93-210,93,210,28,36,0.13,B,Strong,High,0
E-225-233,225,233,29,23,0.09,A,Weak,High,0
E-181-237,181,237,26,25,0.1,D,Strong,High,0
E-53-143,53,143,40,31,0.08,C,Strong,High,0
E-92-220,92,220,29,36,0.14,C,Weak,High,0
E-34-277,34,277,34,23,0.09,B,Strong,High,0
E-56-127,56,127,25,29,0.08,C,Strong,High,0
E-121-146,121,146,24,29,0.11,C,Weak,High,0
E-4-216,4,216,28,29,0.11,D,Weak,High,0
E-101-131,101,131,33,37,0.1,C,Strong,High,0
E-16-120,16,120,27,32,0.12,D,Strong,High,0
E-50-68,50,68,33,31,0.09,D,Weak,High,0
E-258-262,258,262,27,32,0.09,C,Weak,High,0
E-45-297,45,297,31,28,0.09,B,Strong,High,0
E-0-135,0,135,34,41,0.09,A,Strong,High,1
E-65-146,65,146,24,29,0.08,A,Weak,High,0
E-196-236,196,236,32,29,0.08,C,Strong,High,0
E-21-87,21,87,35,38,0.09,C,Weak,High,0
E-140-237,140,237,32,25,0.11,D,Strong,High,0
E-180-227,180,227,34,30,0.1,B,Strong,High,0
E-55-218,55,218,31,31,0.08,A,Strong,High,1
E-18-106,18,106,30,23,0.08,D,Strong,High,0
E-75-241,75,241,29,23,0.08,C,Weak,High,0
E-193-198,193,198,27,28,0.08,C,Weak,High,0
E-61-68,61,68,30,31,0.13,C,Weak,High,0
E-172-228,172,228,23,20,0.08,A,Strong,High,1
E-231-277,231,277,31,23,0.11,C,Weak,High,0
E-110-223,110,223,35,36,0.1,D,Strong,High,0
E-118-217,118,217,28,24,0.09,B,Strong,High,0
E-122-215,122,215,28,33,0.09,D,Strong,High,0
E-87-100,87,100,38,37,0.11,D,Weak,High,0
E-58-177,58,177,31,38,0.11,C,Weak,High,0
E-19-153,19,153,36,40,0.12,C,Weak,High,0
E-148-188,148,188,29,33,0.11,A,Weak,High,0
E-207-209,207,209,34,30,0.11,D,Weak,High,0
E-179-289,179,289,37,32,0.1,A,Weak,High,0
E-72-182,72,182,27,26,0.11,C,Weak,High,0
E-203-230,203,230,35,25,0.12,D,Strong,High,0
E-208-267,208,267,30,35,0.11,B,Weak,High,0
E-202-271,202,271,31,33,0.09,D,Strong,High,0
E-222-280,222,280,26,22,0.11,D,Weak,High,0
E-97-186,97,186,31,27,0.11,D,Strong,High,0
E-38-263,38,263,32,24,0.09,A,Strong,High,1
E-57-90,57,90,26,36,0.08,A,Weak,High,0
E-202-220,202,220,31,36,0.09,B,Strong,High,0
E-169-222,169,222,21,26,0.13,A,Strong,High,1
E-48-244,48,244,33,45,0.09,D,Weak,High,0
E-157-194,157,194,35,35,0.09,A,Strong,High,1
E-30-131,30,131,36,37,0.11,B,Weak,High,0
E-155-266,155,266,30,36,0.11,A,Weak,High,0
E-171-197,171,197,14,37,0.11,A,Weak,High,0
E-36-95,36,95,28,30,0.11,A,Weak,High,0
E-167-245,167,245,22,33,0.07,B,Strong,High,0
E-65-257,65,257,24,27,0.08,A,Weak,High,0
E-174-266,174,266,29,36,0.09,B,Strong,High,0
E-3-136,3,136,36,29,0.1,D,Strong,High,0
E-57-137,57,137,26,33,0.08,C,Weak,High,0
E-78-187,78,187,30,42,0.09,B,Strong,High,0
E-138-187,138,187,41,42,0.11,B,Weak,High,0
E-92-106,92,106,29,23,0.14,A,Strong,High,1
E-103-117,103,117,29,29,0.11,C,Weak,High,0
E-195-234,195,234,30,22,0.09,B,Weak,High,0
E-31-220,31,220,30,36,0.12,A,Strong,High,1
E-188-297,188,297,33,28,0.13,B,Weak,High,0
E-246-249,246,249,29,25,0.12,C,Strong,High,0
E-75-203,75,203,29,35,0.08,A,Strong,High,1
E-116-175,116,175,35,33,0.11,A,Strong,High,1
E-0-299,0,299,34,24,0.09,B,Strong,High,0
E-8-293,8,293,30,27,0.09,B,Strong,High,0
E-43-104,43,104,21,18,0.08,B,Weak,High,0
E-95-262,95,262,30,32,0.08,A,Strong,High,1
E-3-249,3,249,36,25,0.1,A,Weak,High,0
E-14-283,14,283,29,29,0.11,D,Strong,High,0
E-100-204,100,204,37,36,0.09,D,Strong,High,0
E-6-152,6,152,27,27,0.14,A,Strong,High,1
E-25-196,25,196,36,32,0.11,D,Weak,High,0
E-82-107,82,107,35,28,0.09,B,Strong,High,0
E-127-187,127,187,29,42,0.1,D,Strong,High,0
E-129-226,129,226,34,22,0.12,A,Weak,High,0
E-187-257,187,257,42,27,0.1,D,Strong,High,0
E-73-149,73,149,38,26,0.1,B,Strong,High,0
E-63-107,63,107,40,28,0.12,A,Weak,High,0
E-93-245,93,245,28,33,0.13,B,Weak,High,0
E-38-235,38,235,32,29,0.09,D,Strong,High,0
E-4-51,4,51,28,31,0.11,D,Strong,High,0
E-247-294,247,294,34,27,0.11,B,Weak,High,0
E-137-163,137,163,33,30,0.11,A,Weak,High,0
E-245-279,245,279,33,39,0.1,D,Weak,High,0
E-90-110,90,110,36,35,0.11,B,Weak,High,0
E-139-187,139,187,28,42,0.12,B,Strong,High,0
E-108-118,108,118,31,28,0.1,D,Weak,High,0
E-32-51,32,51,33,31,0.11,B,Strong,High,0
E-47-109,47,109,32,29,0.11,B,Weak,High,0
E-108-281,108,281,31,24,0.1,B,Strong,High,0
E-163-276,163,276,30,33,0.11,B,Weak,High,0
E-91-123,91,123,31,24,0.08,C,Strong,High,0
E-26-210,26,210,29,36,0.1,A,Strong,High,1
E-21-104,21,104,35,18,0.09,C,Strong,High,0
E-213-248,213,248,29,37,0.08,A,Weak,High,0
E-47-218,47,218,32,31,0.11,B,Weak,High,0
E-108-182,108,182,31,26,0.1,B,Weak,High,0
E-88-258,88,258,37,27,0.09,D,Strong,High,0
E-248-272,248,272,37,22,0.1,D,Weak,High,0
E-164-207,164,207,25,34,0.11,B,Weak,High,0
E-53-259,53,259,40,36,0.08,C,Strong,High,0
E-51-205,51,205,31,35,0.1,A,Weak,High,0
E-68-107,68,107,31,28,0.09,A,Strong,High,1
E-10-112,10,112,27,39,0.08,A,Strong,High,1
E-4-297,4,297,28,28,0.11,A,Weak,High,0
E-10-109,10,109,27,29,0.08,A,Strong,High,1
E-6-131,6,131,27,37,0.14,B,Strong,High,0
E-120-293,120,293,32,27,0.12,A,Strong,High,1
E-143-257,143,257,31,27,0.09,A,Weak,High,0
E-131-175,131,175,37,33,0.12,C,Strong,High,0
E-223-275,223,275,36,37,0.09,C,Strong,High,0
E-1-172,1,172,24,23,0.07,C,Weak,High,0
E-87-188,87,188,38,33,0.11,A,Weak,High,0
E-209-255,209,255,30,29,0.12,C,Strong,High,0
E-135-145,135,145,41,38,0.09,A,Strong,High,1
E-9-180,9,180,34,34,0.11,C,Strong,High,0
E-19-51,19,51,36,31,0.12,C,Strong,High,0
E-116-155,116,155,35,30,0.11,C,Strong,High,0
E-135-160,135,160,41,27,0.09,A,Strong,High,1
E-117-224,117,224,29,33,0.08,C,Strong,High,0
E-126-263,126,263,29,24,0.08,D,Weak,High,0
E-111-207,111,207,30,34,0.11,B,Weak,High,0
E-53-246,53,246,40,29,0.08,A,Weak,High,0
E-62-298,62,298,33,36,0.11,A,Strong,High,1
E-5-59,5,59,23,36,0.11,A,Strong,High,1
E-129-206,129,206,34,40,0.12,D,Weak,High,0
E-91-156,91,156,31,23,0.08,B,Strong,High,0
E-97-246,97,246,31,29,0.11,D,Weak,High,0
E-161-206,161,206,28,40,0.11,D,Weak,High,0
E-190-294,190,294,44,27,0.11,A,Weak,High,0
E-128-224,128,224,30,33,0.12,A,Strong,High,1
E-242-259,242,259,33,36,0.09,D,Strong,High,0
E-46-92,46,92,33,29,0.1,A,Strong,High,1
E-184-290,184,290,28,27,0.08,B,Strong,High,0
E-24-129,24,129,29,34,0.12,B,Strong,High,0
E-72-109,72,109,27,29,0.11,C,Weak,High,0
E-70-130,70,130,26,30,0.12,D,Strong,High,0
E-185-205,185,205,28,35,0.09,C,Strong,High,0
E-254-262,254,262,28,32,0.1,A,Weak,High,0
E-249-295,249,295,25,26,0.08,B,Weak,High,0
E-91-96,91,96,31,33,0.08,B,Weak,High,0
E-172-238,172,238,23,32,0.08,D,Strong,High,0
E-28-295,28,295,26,26,0.09,B,Strong,High,0
E-116-272,116,272,35,22,0.11,A,Strong,High,1
E-0-161,0,161,34,28,0.09,A,Strong,High,1
E-95-251,95,251,30,37,0.08,C,Strong,High,0
E-11-57,11,57,30,26,0.09,D,Strong,High,0
E-10-249,10,249,27,25,0.08,C,Weak,High,0
E-19-230,19,230,36,25,0.12,C,Strong,High,0
E-73-288,73,288,38,30,0.1,B,Weak,High,0
E-143-274,143,274,31,36,0.09,A,Weak,High,0
E-63-289,63,289,40,32,0.12,A,Strong,High,1
E-21-54,21,54,35,28,0.09,B,Strong,High,0
E-154-196,154,196,33,32,0.12,C,Strong,High,0
E-59-64,59,64,36,38,0.11,D,Strong,High,0
E-248-297,248,297,37,28,0.1,A,Strong,High,1
E-10-56,10,56,27,25,0.08,B,Weak,High,0
E-64-213,64,213,38,29,0.11,A,Strong,High,1
E-159-183,159,183,41,27,0.11,D,Strong,High,0
E-2-126,2,126,25,29,0.12,B,Strong,High,0
E-82-164,82,164,35,25,0.09,D,Weak,High,0
E-64-211,64,211,38,27,0.11,C,Strong,High,0
E-84-199,84,199,33,30,0.1,D,Weak,High,0
E-162-250,162,250,35,26,0.11,C,Strong,High,0
E-186-231,186,231,27,31,0.09,B,Strong,High,0
E-74-106,74,106,26,23,0.08,C,Weak,High,0
E-199-288,199,288,30,30,0.11,D,Strong,High,0
E-181-299,181,299,26,24,0.1,B,Strong,High,0
E-51-58,51,58,31,31,0.1,A,Weak,High,0
E-112-173,112,173,39,18,0.1,B,Strong,High,0
E-2-43,2,43,25,21,0.12,D,Strong,High,0
E-137-297,137,297,33,28,0.11,D,Strong,High,0
E-229-273,229,273,34,30,0.07,C,Weak,High,0
E-16-235,16,235,27,29,0.12,D,Weak,High,0
E-11-91,11,91,30,31,0.09,A,Strong,High,1
E-19-69,19,69,36,28,0.12,A,Weak,High,0
E-112-223,112,223,39,36,0.1,A,Weak,High,0
E-29-73,29,73,25,38,0.08,B,Strong,High,0
E-38-157,38,157,32,35,0.09,B,Strong,High,0
E-126-276,126,276,29,33,0.08,A,Strong,High,1
E-71-212,71,212,28,29,0.1,C,Weak,High,0
E-143-278,143,278,31,29,0.09,A,Weak,High,0
E-89-157,89,157,35,35,0.08,B,Strong,High,0
E-40-209,40,209,23,30,0.12,A,Weak,High,0
E-189-262,189,262,31,32,0.12,D,Strong,High,0
E-61-141,61,141,30,31,0.13,A,Strong,High,1
E-204-228,204,228,36,20,0.11,A,Strong,High,1
E-46-55,46,55,33,31,0.1,B,Weak,High,0
E-251-268,251,268,37,30,0.11,D,Strong,High,0
E-17-155,17,155,25,30,0.12,A,Strong,High,1
E-7-48,7,48,31,33,0.12,A,Strong,High,1
E-53-159,53,159,40,41,0.08,B,Strong,High,0
E-105-272,105,272,40,22,0.1,D,Weak,High,0
E-44-88,44,88,25,37,0.1,D,Strong,High,0
E-49-177,49,177,28,38,0.11,B,Strong,High,0
E-244-285,244,285,45,33,0.1,C,Weak,High,0
E-19-110,19,110,36,35,0.12,B,Strong,High,0
E-32-244,32,244,33,45,0.11,D,Weak,High,0
E-179-184,179,184,37,28,0.1,A,Weak,High,0
E-243-249,243,249,26,25,0.09,C,Strong,High,0
E-38-55,38,55,32,31,0.09,D,Strong,High,0
E-24-167,24,167,29,22,0.12,A,Weak,High,0
E-3-149,3,149,36,26,0.1,A,Strong,High,1
E-4-252,4,252,28,30,0.11,A,Strong,High,1
E-64-270,64,270,38,38,0.11,B,Weak,High,0
E-73-91,73,91,38,31,0.1,D,Weak,High,0
E-57-224,57,224,26,33,0.08,A,Weak,High,0
E-136-185,136,185,29,28,0.12,D,Strong,High,0
E-40-254,40,254,23,28,0.12,D,Strong,High,0
E-84-262,84,262,33,32,0.1,A,Strong,High,1
E-25-298,25,298,36,36,0.11,C,Strong,High,0
E-243-255,243,255,26,29,0.09,D,Weak,High,0
E-54-278,54,278,28,29,0.11,C,Strong,High,0
E-67-294,67,294,17,27,0.09,A,Weak,High,0
E-42-250,42,250,28,26,0.11,D,Weak,High,0
E-82-224,82,224,35,33,0.09,A,Strong,High,1
E-81-135,81,135,37,41,0.1,D,Weak,High,0
E-100-142,100,142,37,26,0.09,B,Weak,High,0
E-89-167,89,167,35,22,0.08,D,Strong,High,0
E-139-289,139,289,28,32,0.12,B,Weak,High,0
E-15-137,15,137,32,33,0.11,D,Weak,High,0
E-186-216,186,216,27,29,0.09,B,Weak,High,0
E-92-111,92,111,29,30,0.14,B,Weak,High,0
E-5-64,5,64,23,38,0.11,B,Strong,High,0
E-178-258,178,258,25,27,0.1,B,Weak,High,0
E-150-293,150,293,42,27,0.09,D,Weak,High,0
E-76-147,76,147,31,36,0.1,B,Strong,High,0
E-163-230,163,230,30,25,0.11,B,Strong,High,0
E-195-259,195,259,30,36,0.09,D,Weak,High,0
E-7-89,7,89,31,35,0.12,A,Strong,High,1
E-84-222,84,222,33,26,0.1,D,Strong,High,0
E-38-135,38,135,32,41,0.09,C,Weak,High,0
E-8-182,8,182,30,26,0.09,D,Strong,High,0
E-30-297,30,297,36,28,0.11,C,Weak,High,0
E-92-187,92,187,29,42,0.14,A,Weak,High,0
E-147-276,147,276,36,33,0.1,A,Strong,High,1
E-88-195,88,195,37,30,0.09,C,Strong,High,0
E-28-267,28,267,26,35,0.09,D,Weak,High,0
E-134-232,134,232,32,37,0.09,D,Strong,High,0
E-13-171,13,171,29,14,0.09,A,Strong,High,1
E-168-206,168,206,23,40,0.11,D,Strong,High,0
E-154-225,154,225,33,29,0.12,C,Weak,High,0
E-82-150,82,150,35,42,0.09,D,Strong,High,0
E-13-284,13,284,29,33,0.09,C,Strong,High,0
E-20-271,20,271,32,33,0.1,C,Strong,High,0
E-107-138,107,138,28,41,0.09,D,Strong,High,0
E-16-206,16,206,27,40,0.12,A,Strong,High,1
E-53-92,53,92,40,29,0.08,A,Weak,High,0
E-116-146,116,146,35,29,0.11,C,Strong,High,0
E-165-287,165,287,26,39,0.1,B,Strong,High,0
E-67-74,67,74,17,26,0.09,A,Weak,High,0
E-13-143,13,143,29,31,0.09,B,Weak,High,0
E-130-206,130,206,30,40,0.09,B,Strong,High,0
E-45-116,45,116,31,35,0.09,C,Weak,High,0
E-129-175,129,175,34,33,0.12,D,Weak,High,0
E-98-290,98,290,31,27,0.12,B,Strong,High,0
E-136-256,136,256,29,29,0.12,D,Weak,High,0
E-171-172,171,172,14,23,0.11,C,Strong,High,0
E-77-147,77,147,26,36,0.09,A,Weak,High,0
E-44-186,44,186,25,27,0.1,A,Strong,High,1
E-15-27,15,27,32,29,0.11,D,Strong,High,0
E-62-222,62,222,33,26,0.11,B,Strong,High,0
E-6-263,6,263,27,24,0.14,C,Weak,High,0
E-52-234,52,234,22,22,0.15,C,Strong,High,0
E-47-185,47,185,32,28,0.11,C,Weak,High,0
E-27-210,27,210,29,36,0.1,B,Weak,High,0
E-210-287,210,287,36,39,0.09,B,Strong,High,0
E-49-234,49,234,28,22,0.11,D,Weak,High,0
E-39-183,39,183,27,27,0.1,D,Weak,High,0
E-244-281,244,281,45,24,0.1,D,Weak,High,0
E-55-183,55,183,31,27,0.08,B,Strong,High,0
E-161-298,161,298,28,36,0.11,C,Weak,High,0
E-83-278,83,278,23,29,0.09,C,Weak,High,0
E-139-281,139,281,28,24,0.12,A,Strong,High,1
E-124-135,124,135,23,41,0.11,D,Weak,High,0
E-61-150,61,150,30,42,0.13,A,Weak,High,0
E-2-122,2,122,25,28,0.12,D,Weak,High,0
E-35-268,35,268,36,30,0.1,B,Weak,High,0
E-45-214,45,214,31,33,0.09,D,Strong,High,0
E-26-178,26,178,29,25,0.1,D,Weak,High,0
E-105-190,105,190,40,44,0.1,A,Strong,High,1
E-145-191,145,191,38,31,0.11,B,Weak,High,0
E-47-150,47,150,32,42,0.11,A,Strong,High,1
E-229-288,229,288,34,30,0.07,D,Strong,High,0
E-38-107,38,107,32,28,0.09,C,Strong,High,0
E-5-259,5,259,23,36,0.11,C,Weak,High,0
E-29-37,29,37,25,25,0.08,C,Weak,High,0
E-54-219,54,219,28,32,0.11,A,Strong,High,1
E-175-179,175,179,33,37,0.12,B,Weak,High,0
E-203-232,203,232,35,37,0.12,D,Strong,High,0
E-68-100,68,100,31,37,0.09,B,Weak,High,0
E-269-285,269,285,30,33,0.1,A,Weak,High,0
E-47-194,47,194,32,35,0.11,A,Weak,High,0
E-226-256,226,256,22,29,0.08,D,Weak,High,0
E-47-72,47,72,32,27,0.11,C,Weak,High,0
E-72-132,72,132,27,24,0.11,B,Weak,High,0
E-169-277,169,277,21,23,0.13,B,Strong,High,0
E-125-272,125,272,35,22,0.1,C,Strong,High,0
E-2-279,2,279,25,39,0.12,A,Weak,High,0
E-10-70,10,70,27,26,0.08,D,Weak,High,0
E-92-248,92,248,29,37,0.14,D,Strong,High,0
E-78-287,78,287,30,39,0.09,A,Weak,High,0
E-183-293,183,293,27,27,0.11,C,Strong,High,0
E-35-217,35,217,36,24,0.1,B,Weak,High,0
E-250-275,250,275,26,37,0.11,D,Weak,High,0
E-24-257,24,257,29,27,0.12,B,Weak,High,0
E-264-292,264,292,30,27,0.07,B,Weak,High,0
E-146-188,146,188,29,33,0.08,B,Strong,High,0
E-4-59,4,59,28,36,0.11,A,Strong,High,1
E-5-83,5,83,23,23,0.11,A,Weak,High,0
E-235-254,235,254,29,28,0.1,B,Strong,High,0
E-98-159,98,159,31,41,0.12,A,Strong,High,1
E-174-188,174,188,29,33,0.09,D,Strong,High,0
E-131-236,131,236,37,29,0.12,D,Strong,High,0
E-22-129,22,129,21,34,0.09,D,Weak,High,0
E-62-132,62,132,33,24,0.11,D,Weak,High,0
E-187-297,187,297,42,28,0.1,B,Strong,High,0
E-98-103,98,103,31,29,0.12,A,Strong,High,1
E-203-255,203,255,35,29,0.12,C,Weak,High,0
E-0-45,0,45,34,31,0.09,A,Weak,High,0
E-94-239,94,239,26,30,0.1,A,Weak,High,0
E-46-89,46,89,33,35,0.1,A,Weak,High,0
E-61-164,61,164,30,25,0.13,C,Weak,High,0
E-190-256,190,256,44,29,0.11,D,Weak,High,0
E-60-282,60,282,32,26,0.1,B,Weak,High,0
E-46-155,46,155,33,30,0.1,C,Strong,High,0
E-253-260,253,260,22,24,0.11,A,Weak,High,0
E-162-288,162,288,35,30,0.11,A,Strong,High,1
E-127-211,127,211,29,27,0.1,A,Strong,High,1
E-146-225,146,225,29,29,0.08,A,Weak,High,0
E-72-238,72,238,27,32,0.11,B,Weak,High,0
E-212-250,212,250,29,26,0.12,D,Weak,High,0
E-47-121,47,121,32,24,0.11,C,Weak,High,0
E-10-270,10,270,27,38,0.08,B,Strong,High,0
E-60-185,60,185,32,28,0.1,A,Weak,High,0
E-169-251,169,251,21,37,0.13,C,Strong,High,0
E-125-291,125,291,35,20,0.1,A,Strong,High,1
E-251-255,251,255,37,29,0.11,C,Weak,High,0
E-101-166,101,166,33,30,0.1,D,Strong,High,0
E-193-232,193,232,27,37,0.08,D,Strong,High,0
E-128-153,128,153,30,40,0.12,C,Weak,High,0
E-59-233,59,233,36,23,0.11,D,Strong,High,0
E-57-139,57,139,26,28,0.08,C,Weak,High,0
E-6-189,6,189,27,31,0.14,D,Strong,High,0
E-7-98,7,98,31,31,0.12,D,Weak,High,0
E-59-273,59,273,36,30,0.11,B,Weak,High,0
E-14-233,14,233,29,23,0.11,A,Weak,High,0
E-37-240,37,240,25,26,0.12,D,Strong,High,0
